Sku|OfferTermCode|Platform|Tenancy|Operation|UsageType|Region|Service|InstanceType|OperatingSystem|AdjustedPricePerUnit|OnDemandHourlyCost|BreakevenPercentage|UpfrontFee|LeaseTerm|PurchaseOption|OfferingClass|TermType|Key|ReservedInstanceCost|OnDemandCostForTerm|CostSavings|PercentSavings|vCPU|Memory
5R2X6S6W3E9QUXCA|KGRZ3REEDN|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.206|0.66|0.383208800332088|1233|3|MEDIUM_UTILIZATION|STANDARD|RESERVED|3::MEDIUM_UTILIZATION::STANDARD|6646.68|17344.8|10698.12|61.679|4|33.8
5R2X6S6W3E9QUXCA|JRBFQ5DASS|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.272|0.66|0.552566763525668|812|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|3194.72|5781.6|2586.88|44.743|4|33.8
SHSTRVMYNYEK33KZ|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN2-NodeUsage:cache.m4.2xlarge|ap-northeast-2|AmazonElastiCache|cache.m4.2xlarge|ElastiCache Memcached|0.283|0.858|0.535795254973337|1548|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|4027.08|7516.08|3489|46.42|8|29.7
SHSTRVMYNYEK33KZ|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN2-NodeUsage:cache.m4.2xlarge|ap-northeast-2|AmazonElastiCache|cache.m4.2xlarge|ElastiCache Memcached|0.205|0.858|0.388385080165902|3370|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|8757.4|22548.24|13790.84|61.161|8|29.7
3VNNYM5XXKM6HZS7|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|EU-NodeUsage:cache.r4.xlarge|eu-west-1|AmazonElastiCache|cache.r4.xlarge|ElastiCache Redis|0.119|0.507|0.434729614919288|2665|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|5792.32|13323.96|7531.64|56.527|4|25.05
3VNNYM5XXKM6HZS7|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|EU-NodeUsage:cache.r4.xlarge|eu-west-1|AmazonElastiCache|cache.r4.xlarge|ElastiCache Redis|0.16|0.507|0.629677663397369|1395|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|2796.6|4441.32|1644.72|37.032|4|25.05
4HE5JY4RNGR37SDY|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APS2-NodeUsage:cache.m4.large|ap-southeast-2|AmazonElastiCache|cache.m4.large|ElastiCache Memcached|0.08|0.218|0.600519458757488|446|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|1146.8|1909.68|762.88|39.948|2|6.42
4HE5JY4RNGR37SDY|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APS2-NodeUsage:cache.m4.large|ap-southeast-2|AmazonElastiCache|cache.m4.large|ElastiCache Memcached|0.056|0.218|0.417989750464301|923|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|2394.68|5729.04|3334.36|58.201|2|6.42
FCKJ4RZ5F2AEKD49|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m2.2xlarge|ap-southeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Redis|0.164|0.678|0.324782352967588|1477|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|5786.92|17817.84|12030.92|67.522|4|33.8
FCKJ4RZ5F2AEKD49|JRBFQ5DASS|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m2.2xlarge|ap-southeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Redis|0.258|0.678|0.518594846513382|820|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|3080.08|5939.28|2859.2|48.141|4|33.8
